Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Lin C.-H.; Hu G.-H.; Ho C.-W.; Hu C.-Y.,"Lin, Chih-Hsueh (57216560517); Hu, Guo-Hsin (57189664887); Ho, Chia-Wei (57311188800); Hu, Chia-Yen (57442333000)",57216560517; 57189664887; 57311188800; 57442333000,Press Casting Quality Prediction and Analysis Based on Machine Learning,2022,Electronics (Switzerland),11,14,2204,,,,0,10.3390/electronics11142204,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136366872&doi=10.3390%2felectronics11142204&partnerID=40&md5=b4d9ad0967c5bbd9735a618c98b10d67,"In an industrial mass production pattern, quality prediction is one of the important processes when guarding quality. The products are extracted periodically or quantitatively for inspection in order to observe the relationship between process variation and engineering specification. When these irregularities are not instantly detected by lot sampling inspection, lot defectives are produced, and the defective cost increases. Failure to identify defects during sampling inspection leads to product returns or harm to business reputation. Press casting is a common mass production method in the metal industry. After the metal is molten at a high temperature, high pressure is injected into the mold, and then it is solidified and formed in the mold. Thus, pressure stability inside the mold is one of the key factors that influences quality. The melting point of aluminum alloy is normally around 650 °C, but there was no sensor that could withstand this high temperature. To combat this, we developed a high temperature resistant sensor and installed it into pressure casting mold grounded on the principles of fluid mechanics and experts’ suggestions in order to realize the impact of pressure change on the mold. To our limited knowledge, it was a seminal study on predicting mold’s casting quality via in-mold pressure data. We propose a press casting quality prediction method based on machine learning. By collecting the in-mold pressure data in real time. Savitzky-Golay Filter is used for data smoothing, and first-order difference is taken to extract the time interval of an actual injection of molten metal in-to the mold. We extract the key data that influence the quality and employ XGBoost to establish a classifier. In the experiment we prove that the method achieves good accuracy of quality prediction and recall of defectives for in-mold pressure. Via this model, we not only can save large amount of time and costs, but also can carry out maintenance warnings in advance, notify professionals to stop produce defective products, reduce the shipping risk and maintain reputation so as to strengthen its competitive edge. © 2022 by the authors.",machine learning; press casting; quality prediction; supervised learning,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85136366872
Lv J.; Liu X.,"Lv, Jun (35913161700); Liu, Xuan (57222004569)",35913161700; 57222004569,The Impact of Information Overload of E-Commerce Platform on Consumer Return Intention: Considering the Moderating Role of Perceived Environmental Effectiveness,2022,International Journal of Environmental Research and Public Health,19,13,8060,,,,1,10.3390/ijerph19138060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133131767&doi=10.3390%2fijerph19138060&partnerID=40&md5=f22f6d01b1b08f618347c77076961fe8,"The increasingly serious problem of consumers returning goods on e-commerce platforms has brought high costs to the Internet economy, carbon pollution to the environment, and waste of social resources. E-commerce platforms can provide useful information to assist consumers to make rational decisions, but they are often filled with useless, repetitive, and even false excessive information, which will lead to information overload and impulsive decision-making of consumers. Most of the previous literature focuses on reverse logistics, return policy, and consumer behavior tendency, etc. From the perspective of consumers’ perception of information displayed on e-commerce platforms, there are few research endeavors on the formation mechanism of perceived information overload on consumers’ return intention. Taking perceived information overload as an independent variable and consumers’ perceived environmental effectiveness as a moderation variable, this study constructs a chain mediation model that affects consumers’ online return intention. Based on the analysis of the mediating effects of impulsive buying behavior and cognitive dissonance, this study explored the moderating mechanism of consumers’ perceived environmental effectiveness on the chain mediation model. The results show that perceived information overload has a positive influence on online return intention through impulsive buying behavior, and perceived information overload has a positive influence on online return intention through cognitive dissonance. Perceived information overload also positively affects cognitive dissonance through impulsive buying behavior and thus has a significant positive chain mediating effect on consumers’ online return intention. More importantly, this research shows that consumers’ perceived environmental effectiveness can significantly moderate the chain mediation path by reducing the positive effect of the cognitive dissonance on online return intention. On this basis, this study put forward the corresponding managerial implications from the perspectives of consumers and e-commerce platforms. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",cognitive dissonance; impulsive buying behavior; online return intention; perceived environmental effectiveness; perceived information overload,Commerce; Consumer Behavior; Costs and Cost Analysis; Intention; cognition; decision making; electronic commerce; article; cognition; consumer; electronic commerce; human; independent variable; information overload; perception; behavior; commercial phenomena; consumer attitude; cost,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85133131767
Das D.; Dutta P.,"Das, Debabrata (57265644200); Dutta, Pankaj (16244453500)",57265644200; 16244453500,Product return management through promotional offers: The role of consumers’ loss aversion,2022,International Journal of Production Economics,251,,108520,,,,2,10.1016/j.ijpe.2022.108520,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131461968&doi=10.1016%2fj.ijpe.2022.108520&partnerID=40&md5=193e34dccca47d077cc62dec4baabbe9,"The performance of recovery activities in a circular economy is primarily driven by an effective and efficient acquisition process for used products. This study focuses on uncovering the role of consumer behaviour in designing an appropriate product recovery framework. Drawing insights from prospect theory, where a consumer would react more severely to losses than gains, we develop a probability function to model consumers' willingness to accept a promotional offer as a function of the discount offered to them on returning their used products. The developed model captures the loss aversion characteristic of consumers by incorporating their budgeted price for a new product and the deviation of the actual price from the budgeted price. The propositions suggest that experiencing a higher deviation of the actual price from the budgeted price increases the likelihood of consumers accepting the promotional offer. However, the result reverses if the absolute deviation crosses a threshold value. These propositions have been validated through empirical analysis of experiments conducted with 500 participants. Further, an analytical model is developed to determine the optimum discount to be offered to consumers to return their used products, to minimise the cost of collecting used products through promotional offers. The analysis shows a trade-off between the incentive offered through promotion and the penalty cost for not satisfying government regulations. Overall, this study's findings aid in framing an effective incentive mechanism that could be used by decision makers to improve the performance of the product return management process. © 2022 Elsevier B.V.",Budgeted price; Consumer behaviour; Incentive; Product return management; Promotional offers; Prospect theory,Budget control; Cost benefit analysis; Decision making; Economic and social effects; Laws and legislation; Product design; Acquisition process; Budgeted price; Circular economy; Incentive; Loss-aversion; Performance; Product return management; Promotional offer; Prospect theory; Used product; Consumer behavior,Article,Final,,Scopus,2-s2.0-85131461968
Frei R.; Jack L.; Krzyzaniak S.-A.,"Frei, Regina (7103231288); Jack, Lisa (8276658700); Krzyzaniak, Sally-Ann (57199500185)",7103231288; 8276658700; 57199500185,Mapping Product Returns Processes in Multichannel Retailing: Challenges and Opportunities,2022,Sustainability (Switzerland),14,3,1382,,,,1,10.3390/su14031382,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123410917&doi=10.3390%2fsu14031382&partnerID=40&md5=6d51ebcbd31397f56c7dbbe2d0078aaa,"An increasing percentage of products in multichannel retail are being returned, yet many retailers and manufacturers are not aware of the importance and scale of this issue. Similarly, the literature on online returns is limited. Returns processes can be very complicated, contain many manual steps that have several variations, unclear decision-making rules and, at the handling stage, often involve low-wage third-party employees guided by patchy IT systems. This article maps the complexity of product returns processes, highlights challenges and identifies opportunities for improvement, thereby contributing to a deeper understanding of the emerging field of product returns research. It also concludes that it is essential for returns to be made a strategic priority at the senior management level, implementing a Lean approach to returns systems. The research was based on 4 case studies, 17 structured interviews and 3 retail community workshops, all with British and other Western European retailers. Through triangulation of individual data, a generic process map for retail returns was created and implications for sustainability, loss prevention and profit optimisation are examined. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Product returns; Retail; Reverse supply chains; Sustainability,Western Europe; complexity; mapping; retailing; sustainability; triangulation,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85123410917
Pi Z.; Fang W.; Zhao Q.; Zhang B.,"Pi, Zhenyang (57208029552); Fang, Weiguo (36157827500); Zhao, Qiuhong (7402763911); Zhang, Baofeng (56802871100)",57208029552; 36157827500; 7402763911; 56802871100,On the introduction of return window to supply chains with online channel,2022,Computers and Industrial Engineering,172,,108623,,,,0,10.1016/j.cie.2022.108623,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137178096&doi=10.1016%2fj.cie.2022.108623&partnerID=40&md5=938ac6f3df9c46404204513320bf5467,"In the E-commerce era, many firms offer return policy in the form of return window, allowing consumers to return for a full refund within a specific time, which has an important effect on supply chain operations. Motivated by practical observations, we explore a supplier's distribution channel strategy when introducing return window in both centralized and decentralized supply chain systems. A game-analytical model is developed to study the interaction between channel strategy and return window. The equilibrium channel strategies, return windows, and prices in the two systems are derived. We find that a long return window always tends to be offered by the supplier when the direct channel is open (in a dual-channel or single direct-channel strategy) since it expands potential market demand. Also, the supplier provides a shorter return window in the decentralized than the centralized system as the existence of double marginalization, which enriches existing results. We prove that introducing return window always restricts the supplier to choose a dual-channel strategy, but it incentivizes (restricts) the supplier to choose a single retail-channel strategy in the decentralized (centralized) system in response to changing cost pressures. Our theoretical findings provide insights for managing supply chains when introducing return window as a market strategy. © 2022 Elsevier Ltd",Channel strategy; Game theory; Pricing; Return window,Game theory; Supply chains; Centralized systems; Channel strategies; Decentralised; Direct channel; Dual channel; Online channels; Return policy; Return window; Specific time; Supply chain operation; Costs,Article,Final,,Scopus,2-s2.0-85137178096
Altug M.S.,"Altug, Mehmet Sekip (36636828300)",36636828300,Flexible consumer return policies and rising clearance sales in retailing: Can this dual trend co-exist?,2023,IISE Transactions,55,8,,821,832,11,0,10.1080/24725854.2022.2126037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141577201&doi=10.1080%2f24725854.2022.2126037&partnerID=40&md5=f793bc1410018160714f182d0fda15ac,"We have been witnessing the dual trend of retailers offering increasingly flexible consumer return policies and the rise in clearance sales and the number of off-price clearance channels. We model and connect these two trends by making the salvage/clearance price endogenous and ask the question of whether the retailers can continue to be better off without restricting their return policies, even if they end up with lower clearance prices. Interestingly, compared with a setting with no returns, although the retailers’ clearance price will be lower, we show that they would be better off with flexible return policies when the bargain hunter segment’s valuation heterogeneity is above a certain threshold. We show that this result holds in both store-clearance and the two types of off-price clearance-channel settings in which multiple retailers clear their excess stock through an intermediary. We also show that the expected clearance price in off-price clearance channels is higher than the clearance price in store-clearance setting with and without returns. We believe that these two results jointly explain both trends of offering flexible return policies and the rise in off-price clearance channel business in the retail industry. © Copyright © 2022 “IISE”.",clearance pricing; clearance sales; consumer returns; operations/marketing interface; Retailing; return policy,Sales; Salvaging; Clearance pricing; Clearance sales; Consumer return; Consumer return policies; Multiple retailers; Operations-marketing interface; Retail industry; Retailing; Return policy; Costs,Article,Final,,Scopus,2-s2.0-85141577201
Chinda T.,"Chinda, Thanwadee (23666614700)",23666614700,FEASIBILITY STUDY OF MULTIMODAL TRANSPORTATION OF CASSAVA PRODUCTS IN THAILAND: SYSTEM DYNAMICS MODELING,2022,ASEAN Engineering Journal,12,3,,79,88,9,1,10.11113/aej.V12.17049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139348353&doi=10.11113%2faej.V12.17049&partnerID=40&md5=c96d87f3b3558a9adf0befc8021f85fc,"Thailand is one of the world’s top export countries, sharing 72% of the global shipment, mainly in the agricultural and industrial products. Being a major logistics hub in ASEAN, Thai government has initiated several projects to support the transportation of people and goods. Road transportation is a major mode of goods transportation in Thailand. However, it incurs the highest logistics cost compared with water and rail modes. The use of multimode transportation is, therefore, considered to lower the logistics cost and reduce the environmental problems. This study examines the feasibility of multimodal transportation of cassava products in the long-term utilizing the system dynamics modeling approach. Six saving elements, including 1) saving in labor cost, 2) saving in fuel cost, 3) saving in carbon dioxide tax, 4) saving in truck rental cost, 5) saving in reimbursement cost, and 6) saving in accident cost, and four cost elements, including 1) handling cost, 2) tariff cost, 3) product return cost, and 4) product damaged cost, are considered in the dynamics model. The simulation results reveal that at the initial years, the net cash flow is negative due to high investments in double track system. Once the project continues, the savings increase. It is found that the project is feasible when it is continued for 10 years at the internal rate of return of 13.69%. The sensitivity analysis results also show that the saving in truck rental cost and the product damaged cost are two key elements in the multimodal transportation, as they highly affect the internal rate of return of the project. The developed dynamics model of multimodal transportation of cassava products can be used as a guideline for transportation companies and government to plan for their multimodal transportation to reduce logistic costs and achieve benefits in the long term. © 2022 Penerbit UTM Press. All rights reserved.",Cassava; feasibility; multimodal transportation; system dynamics modeling; Thailand,,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85139348353
Gani M.O.; Rahman M.S.; Faroque A.R.; Sabit A.A.; Fattah F.A.,"Gani, Mohammad Osman (57220369895); Rahman, Muhammad Sabbir (55314016800); Faroque, Anisur R. (56502088800); Sabit, Ahmad Anas (58212850400); Fattah, Fadi Abdel (57223841882)",57220369895; 55314016800; 56502088800; 58212850400; 57223841882,Understanding the determinants of ePharmacy services: the moderating effect of technology discomfort,2022,Bottom Line,35,02-Mar,,90,114,24,10,10.1108/BL-03-2022-0045,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132907336&doi=10.1108%2fBL-03-2022-0045&partnerID=40&md5=e55dbbb765f12120c61ce156f6f9ce88,"Purpose: The purpose of this study is to understand the determinants affecting behavioral intention (BI) to use ePharmacy services. The moderating role of technology discomfort in the relationship between BI and the actual use of ePharmacies in the context of Bangladesh is also examined. Design/methodology/approach: A descriptive, quantitative approach was used to consider the UTAUT-2 model. Using the convenience sampling method, 255 responses were collected. The data were analyzed using Smart-PLS 3.2 software to investigate the hypothesized relationships. Findings: The findings reveal that website information, doctors’ services, performance expectancy, return policy, social influence, perceived reliability and facilitating conditions are significantly related to the BI to use ePharmacy services. Interestingly, the structural equation modeling results also confirmed that technology discomfort has no moderating effect on the relationship between BI and actual usage behavior. Research limitations/implications: This research provides theoretical contribution by extending the practical knowledge focusing on the relationship of ePharmacy, BI and actual usage behavior by using UTAUT-2 model – a relevant and unexplored issue in the easting literature, offering several research opportunities as the future avenue. Practical implications: The result highlights the economic and social relevance from the perspective of a developing country. As people are showing their intention toward ePharmacy, managers and decision-makers need to take strategic decision to overcome any difficulties. Policymakers need to improve their services for the expansion of ePharmacy through different development projects. Originality/value: This study advances past studies on the use of ecommerce in the pharmaceutical industry and provides a general understanding of customers in developing countries. © 2022, Emerald Publishing Limited.",Actual usage behavior; Behavioral intention; Doctor’s service; ePharmacy; Technology discomfort; UTAUT-2 model,,Article,Final,,Scopus,2-s2.0-85132907336
Castro Rojas S.; Corrales J.; Burbano-Vallejo E.L.; Coral-Vallejo A.A.,"Castro Rojas, Sebastian (57674172300); Corrales, Johan (57674172400); Burbano-Vallejo, Edy Lorena (57193213348); Coral-Vallejo, Alvaro Andres (57672521700)",57674172300; 57674172400; 57193213348; 57672521700,"Migration, return and entrepreneurship in Colombia; [Migración, retorno y emprendimiento en Colombia]",2022,Revista Venezolana de Gerencia,27,7,,31,46,15,0,10.52080/rvgluz.27.7.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129752400&doi=10.52080%2frvgluz.27.7.3&partnerID=40&md5=f8ce5bc2e77438c3917e39ba70d79b1f,"This article identifies some factors that determine whether a person becomes an entrepreneur when they return to the country after a stay abroad. Data from the Global Entrepreneurship Monitor (GEM) project in 2017 were used and I estimate an econometric regression under a probabilistic model. The main results obtained on the factors that determine that an entrepreneur is affected in a positive and significant way are: age, entrepreneurial skills and having a contact with an entrepreneur. It is concluded that it is essential that the government strengthen migration and return policies, as well as inclusion or motivation issues that encourage individuals to undertake, this will allow Colombians who are abroad (migration) to return to Colombia with the attitude of generating business. © 2022, Universidad del Zulia. All rights reserved.",entrepreneurship; GEM; gender; probit; return migration,Colombia; age determination; age structure; econometrics; entrepreneur; estimation method; immigrant; population migration; return migration,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85129752400
Calmon A.P.; Jue-Rajasingh D.; Romero G.; Stenson J.,"Calmon, Andre P. (22984349400); Jue-Rajasingh, Diana (57204125909); Romero, Gonzalo (55771160100); Stenson, Jackie (57899661600)",22984349400; 57204125909; 55771160100; 57899661600,Operational Strategies for Distributing Durable Goods in the Base of the Pyramid,2022,Manufacturing and Service Operations Management,24,4,,1887,1905,18,3,10.1287/msom.2022.1106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138480163&doi=10.1287%2fmsom.2022.1106&partnerID=40&md5=4786c9750385affef1649498054b06f2,"Problem definition: Novel life-improving products, such as solar lanterns and energy-efficient cookstoves address essential needs of consumers in the base of the pyramid (BOP). However, their profitable distribution is often difficult because BOP customers are risk-averse, their ability to pay (ATP) is lower than their willingness to pay, and they face uncertainty regarding these products' value. Academic/practical relevance: We examine two practical strategies from distributors in the BOP: (1) improving the product's affordability through a discount and (2) increasing awareness of the product's value. Our results identify BOP-specific operational trade-offs in implementing these strategies. We also propose strategies to manage these trade-offs that can increase consumer surplus in the BOP. Methodology: We introduce a supply chain model for the BOP and analyze the distributor's pricing problem with refunds as well as the distributor's optimal budget allocation between strategies (1) and (2). Results: We find that, in the BOP, the distributor's profit-maximizing budget allocation often yields the lowest consumer surplus. This misalignment between profits and consumer surplus disappears if customers' ATP is high. Moreover, the misalignment can be resolved if the distributor offers free product returns and commits to a maximum retail price. We confirm the robustness of our results through numerical simulations. Managerial implications: Best operations strategy practices in the BOP can differ significantly from developed markets. Furthermore, BOP customers' limited ATP and high risk aversion generate a BOP-specific misalignment between profits and consumer surplus. Operational commitments, such as free returns, reduce this misalignment and can serve as a signal to investors of a social enterprise's focus on consumer surplus. Copyright: © 2022 INFORMS.",base of the pyramid; social entrepreneurship; supply chain management; sustainability,Alignment; Budget control; Commerce; Costs; Economic and social effects; Energy efficiency; Sales; Supply chain management; Base of the pyramids; Budget allocation; Consumer's surplus; Durable goods; Energy efficient; Operational strategies; Problem definition; Product value; Social entrepreneurship; Trade off; Profitability,Article,Final,,Scopus,2-s2.0-85138480163
Lin J.; Zhou L.; Spiegler V.L.M.; Naim M.M.; Syntetos A.,"Lin, Junyi (57192831363); Zhou, Li (57204687859); Spiegler, Virginia L.M. (55444103700); Naim, Mohamed M. (35568844500); Syntetos, Aris (8320316800)",57192831363; 57204687859; 55444103700; 35568844500; 8320316800,Push or Pull? The impact of ordering policy choice on the dynamics of a hybrid closed-loop supply chain,2022,European Journal of Operational Research,300,1,,282,295,13,8,10.1016/j.ejor.2021.10.031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118997548&doi=10.1016%2fj.ejor.2021.10.031&partnerID=40&md5=ec7013811a1414e6260d756ebed823da,"We study the dynamic behaviour of a hybrid system where manufacturing and remanufacturing operations occur simultaneously to produce the same serviceable inventory for order fulfilment. Such a hybrid system, commonly found in the photocopier and personal computer industries, has received considerable attention in the literature. However, its dynamic performance and resulting bullwhip effect, under push and pull remanufacturing policies, remain unexplored. Relevant analysis would allow considering the adoption of appropriate control strategies, as some of the governing rules in a push-based environment may break down in pull-driven systems, and vice versa. Using nonlinear control theory and discrete-time simulation, we develop and linearise a nonlinear stylised model, and analytically assess bullwhip performance of push- and pull-controlled hybrid systems. We find the product return rate to be the key influencing factor of the order variance performance of pull-controlled hybrid systems, and thus, to play an important role towards push or pull policy selection. Product demand frequency is another important factor, since order variance has a U-shaped relation to it. Moreover, the product return delay shows a supplementary impact on the system's dynamics. In particular, the traditional push-controlled hybrid system may be significantly influenced by this factor if the return rate is high. The results highlight the importance of jointly considering ordering structure and product demand characteristics for bullwhip avoidance. © 2021 The Author(s)",Bullwhip effect; Closed-loop supply chains; Nonlinear dynamics; Push and pull production; System dynamics,Discrete event simulation; Discrete time control systems; Personal computers; Supply chains; Bullwhip effects; Closed-loop; Closed-loop supply chain; Ordering policies; Performance; Policy choices; Product demand; Product returns; Pull production; Push and pull production; Hybrid systems,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85118997548
Chaouch B.A.,"Chaouch, Ben A. (6505935460)",6505935460,Optimal stocking policies for inventory systems with uncertain returns,2022,International Journal of Production Research,,,,,,,0,10.1080/00207543.2022.2150906,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144035454&doi=10.1080%2f00207543.2022.2150906&partnerID=40&md5=d127c1dd380a166c53b184a2cd9aceee,"The purpose of this paper is to enlarge the scope of existing EOQ-type models by incorporating uncertain product returns that may include time or quantity restrictions. In this inventory control problem, the item’s demand is deterministic and occurs at a known constant rate over time. Product returns arrive according to a Poisson process. The amount returned to the seller at each return epoch is a random or fixed fraction of the accumulated number of units (net of previous returns) that have been demanded so far within a stock cycle. The ordering policy is a continuous review policy that orders a fixed quantity every time an order is placed. The replenishment lead time is instantaneous, and shortages are not allowed. The objective is to find optimal order quantities by minimising the long-run average total costs per unit time. Costs include a fixed plus proportional cost per order, and a holding cost per unit held in inventory per unit time. A level-crossing approach is used to derive a closed-form expression for the expected ordering and inventory holding costs as a function of the order size and other relevant parameters. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",Inventory control; level crossing method; lot sizing; Product returns; stochastic,Railroad crossings; Stochastic systems; Cost per unit; Deterministics; Holding costs; Inventory control problems; Inventory systems; Level-crossing method; Lot sizing; Optimal stocking; Product returns; Stochastics; Inventory control,Article,Article in press,,Scopus,2-s2.0-85144035454
Wu J.,"Wu, Jinshun (57722948400)",57722948400,Sustainable development of green reverse logistics based on blockchain,2022,Energy Reports,8,,,11547,11553,6,6,10.1016/j.egyr.2022.08.219,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138101052&doi=10.1016%2fj.egyr.2022.08.219&partnerID=40&md5=64eda15083f062468e634040ba81bfc3,"With the continuous convenience of life, logistics has become an indispensable existence in life. Logistics application, such as the southern banana transportation to the country, major cities can buy all the year round; Xinjiang ha honey melon, Ningxia white orchid melon, northeast rice, Tianjin small station rice are not seasonal supply market. However, with the increasing frequency of logistics activities, its damage to natural resources and ecological environment is becoming more and more serious. The waste produced in logistics is increasing day by day, which puts great pressure on the environment. Such as steel slag, industrial waste water, waste computers, waste batteries and other kinds of inorganic waste. Goods return is the most important activity in the green reverse logistics. Because reverse logistics is a kind of logistics activity including product return, logistics replacement, item reuse, waste disposal, reprocessing, repair and remanufacturing and other processes. Returns are the key part of it. In order to ensure the goods, return to the manufacturer and get good disposal, it is necessary to record the whole process information of the goods from the factory to the customer. Blockchain is a chain composed of one block after another. Each block holds certain information in each block, which are connected into chains in their respective chronological order. Based on this, this paper proposes a sustainable development strategy of green reverse logistics based on blockchain. In the strategy research, based on the characteristics of decentralization, non-tampering and high information security of blockchain technology(BT), this paper proposes a commodity traceability scheme based on blockchain. In this traceability scheme, this paper uses the structure of Merkel tree to design a license chain to store detailed commodity traceability information, and stores the Merkel tree root node of the license chain block in the public chain, forming a “double chain” structure of commodity traceability system. The simulation analysis shows that the traceability information stored in the license chain can use the high security of the public chain to ensure the security of information. Compared with the traditional blockchain, the double chain structure designed in the article, has a larger throughput, which can trace the source of the product to the manufacturer, ensure that the goods can be returned to the manufacturer for further processing, reduce the generation of waste in the logistics, and provide a guarantee for promoting the sustainable development of green reverse logistics. © 2022 The Author(s)",Blockchain technology; Commodity traceability scheme; Green reverse logistics; Merkel tree; Sustainable development,Blockchain; Forestry; Manufacture; Planning; Security of data; Slags; Waste disposal; Block-chain; Blockchain technology; Chains structure; Commodity traceability scheme; Double chain; Green reverse logistic; Major cities; Merkel tree; Reverse logistics; Traceability information; Sustainable development,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85138101052
Abdulla H.; Abbey J.D.; Ketzenberg M.,"Abdulla, Huseyn (57210207397); Abbey, James D. (24513015600); Ketzenberg, Michael (6602965752)",57210207397; 24513015600; 6602965752,How consumers value retailer's return policy leniency levers: An empirical investigation,2022,Production and Operations Management,31,4,,1719,1733,14,9,10.1111/poms.13640,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122265535&doi=10.1111%2fpoms.13640&partnerID=40&md5=8d85db87588b639b72b5fa690beec446,"Due to the ongoing and dramatic growth in the volume of consumer returns, retailers continue to struggle with the trade-off in returns service strategies between implementing stricter return policies to lower operational costs and environmental footprint versus providing customers with lenient return policies to positively stimulate customers' value perceptions and patronage intentions. This paper argues that effective management of this trade-off requires a deep understanding of the process through which consumers perceive, evaluate, and respond to return policies that vary in terms of leniency across five key dimensions identified in the literature: monetary, time, effort, scope, and exchange. To this end, we theorize on a cognitive process model and empirically test the model using randomized experiments with diverse consumer samples. By viewing each of the five leniency dimensions as returns service design levers, we examine (1) how a retailer's return policy leniency across different levers impacts a consumer's intention to purchase from a retailer, through the influence of leniency on the perceptions regarding returns service quality and transaction costs that jointly form perceived returns service value, and (2) how different leniency levers are compared in terms of their impacts. We find significant heterogeneity in the effectiveness of different leniency levers in influencing consumers' purchase intentions through increased perceived service quality, reduced perceived transaction costs, and subsequently increased perceived service value. © 2021 Production and Operations Management Society.",consumer returns; mediation analysis; return policy; service design; vignette-based experiment,,Article,Final,,Scopus,2-s2.0-85122265535
Bhavya N.; Viswanath N.S.,"Bhavya, N. (57210289794); Viswanath, N.S. (58020449700)",57210289794; 58020449700,Reverse Logistics (RL) Practices Toward Sustainable Change- A case of the Computer Hardware Industry in India,2022,"4th International Conference on Circuits, Control, Communication and Computing, I4C 2022",,,,412,415,3,0,10.1109/I4C57141.2022.10057639,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150274091&doi=10.1109%2fI4C57141.2022.10057639&partnerID=40&md5=0296041477dc3abae0dc2003b6c84901,"Reverse logistics practices are gaining importance at the global level. The present reverse logistics practices are robust and effective in developed countries like the U.S., U.K., Australia, Germany, etc. but in emerging countries like India, it is still at the nascent stage. Companies are realizing the effectiveness and importance of formulating and application of reverse logistics as a competitive strategy. At present computer hardware industry cannot ignore the efficacy of implementing reverse logistics practices. At present many companies are adopting Reverse logistics practices for economic cost advantage, and legislation compliance in India, but in the global scenario, companies are gaining cost efficiency, competitive advantage, and sustainable brand image. The present study addresses the gap in reverse logistics practices in India compared to the global practices hence the present study contributes to assessing and recommending sustainable practices which contribute not only to organizational performance and customer satisfaction but also lead to Triple Bottom Line (people, planet, profit). The present study emphasizes the existing return policy framework, factors influencing customer returns, return policy satisfaction, and leniency of return policy to assess the effectiveness of reverse logistics and return's management in India. The study contributes to re-formulating and re-strategizing promotional strategies by marketers and computer hardware companies in gaining a competitive advantage.  © 2022 IEEE.",peripherals; Product Returns; Return Behaviour; Return Policy Computer hardware; Reverse logistics,Competition; Computer hardware; Australia; Competitive advantage; Computer hardware industry; Developed countries; Peripheral; Product returns; Return behavior; Return policy; Return policy computer hardware; Reverse logistics; Customer satisfaction,Conference paper,Final,,Scopus,2-s2.0-85150274091
Park Y.; Sim J.; Kim B.,"Park, YoungSoo (57325238400); Sim, Jeongeun (56606726900); Kim, Bosung (57142946100)",57325238400; 56606726900; 57142946100,Online retail operations with “Try-Before-You-Buy”,2022,European Journal of Operational Research,299,3,,987,1002,15,1,10.1016/j.ejor.2021.09.049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118532104&doi=10.1016%2fj.ejor.2021.09.049&partnerID=40&md5=6730c8676c40f02005101fddd7a881e2,"Try-Before-You-Buy (TBYB) is an emerging retail strategy of online retailers that allows consumers to have multiple items delivered to them and then determine which items they wish to keep or return for free. This paper addresses the TBYB retailer's problem in its operations: the decision regarding how many items to send to a consumer to maximize its expected profit when the products are chosen by a retailer recommendation system. To this end, we develop a stylized model of the retailer's quantity decision by taking into account the consumer's purchase decision, which is influenced by the consumer's budget constraint and the retailer's recommendation accuracy. We derive the retailer's optimal quantity decision and discuss how it is determined. We also examine how the retailer's optimal quantity decision and corresponding profit are influenced by two factors reflecting the TBYB industry: recommendation accuracy and new consumer influx. Regarding recommendation accuracy, our results show that a minimum level of accuracy exists, which acts as an entry barrier to TBYB retail. Once the retailer's accuracy exceeds the threshold, we show that the relationship between the accuracy and the optimal quantity is characterized as an inverted-U relationship. Regarding the latter, interestingly, we find that an influx of new consumers may hurt the retailer's profit even when the accuracy applied to them is above the entry barrier. © 2021 Elsevier B.V.",E-commerce; Product return; Recommendation system; Retailing; Try-Before-You-Buy,Budget control; Electronic commerce; Profitability; Recommender systems; Consumer purchase; Expected profits; Multiple items; Online retails; Optimal quantity; Product returns; Recommendation accuracy; Retail operations; Retailing; Try-before-you-buy; Sales,Article,Final,,Scopus,2-s2.0-85118532104
